study,year,outlook,expt.events,expt.n,ctrl.events,ctrl.n
Rauws,1990,published,7,24,5,26
Graham,1991,published,4,53,10,52
Bayrerdorffer,1992,published,2,29,4,29
Hosking,1992,published,8,78,21,77
Bianchi Porro,1993,published,7,91,12,92
HentscheI,1993,published,1,52,3,52
Mantzaris,1993,published,5,17,8,16
Wang,1993,published,3,23,6,36
Lin,1994,published,0,21,2,21
Spinzi,1994,published,2,24,3,29
Bayrerdorffer,1995,published,4,136,12,128
Katoh,1995,published,0,27,1,25
Logan,1995,published,2,70,6,78
Pinero,1995,published,8,30,7,30
Sobhani,1995,published,7,59,15,60
Avsar,1996,published,2,23,10,22
Figueroa,1996,published,4,57,4,43
Harford,1996,published,36,127,25,69
Kato,1996,published,0,28,1,23
O'Morain,1996,published,9,102,15,106
Parente,1996,published,7,63,1,33
Porro,1996,published,2,17,9,15
Shirotani,1996,published,4,25,6,25
Bardhan,1997,published,4,141,6,74
Carpintero,1997,published,3,78,3,44
Pounder,1997,published,5,61,8,30
Graham,1998,negative,,77,,76
Schwartz,1998,positive,,292,,60
Kepecki,1999,negative,,39,,34
van Zanten,1999,very positive,,98,,48
Wong,1999,negative,,57,,57
Asaka,2001,positive,,205,,51
Mones,2001,positive,,42,,43
