study,year,expt.events,expt.n,ctrl.events,ctrl.n
Rauws,1990,7,24,5,26
Graham,1991,4,53,10,52
Bayrerdorffer,1992,2,29,4,29
Hosking,1992,8,78,21,77
Bianchi Porro,1993,7,91,12,92
HentscheI,1993,1,52,3,52
Mantzaris,1993,5,17,8,16
Wang,1993,3,23,6,36
Lin,1994,0,21,2,21
Spinzi,1994,2,24,3,29
Bayrerdorffer,1995,4,136,12,128
Katoh,1995,0,27,1,25
Logan,1995,2,70,6,78
Pinero,1995,8,30,7,30
Sobhani,1995,7,59,15,60
Avsar,1996,2,23,10,22
Figueroa,1996,4,57,4,43
Harford,1996,36,127,25,69
Kato,1996,0,28,1,23
O'Morain,1996,9,102,15,106
Parente,1996,7,63,1,33
Porro,1996,2,17,9,15
Shirotani,1996,4,25,6,25
Bardhan,1997,4,141,6,74
Carpintero,1997,3,78,3,44
Pounder,1997,5,61,8,30
Graham,1998,22,77,27,76
Schwartz,1998,168,292,44,60
Kepecki,1999,7,39,4,34
van Zanten,1999,0,98,3,48
Wong,1999,9,57,6,57
Asaka,2001,34,205,10,51
Mones,2001,5,42,7,43
