study,year,expt.mean,expt.sd,expt.n,ctrl.mean,ctrl.sd,ctrl.n
Kataoka,2004,-1.3,1.7,71,-0.8,1.7,71
Takashima,2004,-1.6,1.9,10,-1.4,1.5,9
Diepvens,2005,-4.21,2.7,23,-4.19,1.3,23
Kajimoto,2005,-0.55,2.1,129,0.6,2,66
Kozuma,2005,-2.7,1.5,107,0.8,0.9,119
Hill,2007,0.08,0.9,19,-0.45,1.2,19
Nagao,2007,-1.7,1.5,123,-0.1,1.7,117
Auvichayapat,2008,-2.7,2.2,30,-2,9.7,30
Hsu,2008,-0.15,2,41,-0.03,1.9,37
Takase,2008,-2.9,1.2,44,0.1,0.7,45
Takeshita,2008,-1.1,1.3,40,-0.3,1.5,41
Maki,2009,-2.2,3.7,65,-1,3.6,63
Suzuki,2009,-0.4,1.4,18,-0.1,1.6,20
Wang,2010,-0.9,2.5,139,-0.8,2.6,43
